name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         18.6 ns      53.7M        🟰 0          ❔ uncertain        ✅ +7%             
set 1K (seq) clr     4.0 ns       250.2M       🟰 0          ✅ +37%             ✅ +21%            
set 1K (rnd)         28.3 ns      35.4M        🟰 0          ✅ +10%             ❔ uncertain       
set 1K (rnd) clr     14.1 ns      71.0M        🟰 0          ✅ +31%             ✅ +13%            
set 1K (sps)         19.9 ns      50.3M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (sps) clr     4.8 ns       209.8M       🟰 0          ✅ +77%             ✅ +45%            
set 1K (dns)         19.5 ns      51.3M        🟰 0          ✅ +11%             ❔ uncertain       
set 1K (dns) clr     9.0 ns       111.1M       🟰 0          ❔ uncertain        ✅ +14%            
set 1M (seq)         10.9 ns      91.4M        🟰 0          ❔ uncertain        ✅ +20%            
set 1M (seq) clr     3.0 ns       332.7M       🟰 0          ✅ +3.8x            ✅ +31%            
set 1M (rnd)         19.8 ns      50.4M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (rnd) clr     17.9 ns      55.7M        🟰 0          ✅ +74%             ✅ +6%             
set 1M (sps)         33.7 ns      29.7M        🟰 0          ❔ uncertain        ✅ +15%            
set 1M (sps) clr     4.5 ns       221.3M       🟰 0          ✅ +2.7x            ✅ +45%            
set 1M (dns)         12.3 ns      81.5M        🟰 0          ❔ uncertain        ✅ +10%            
set 1M (dns) clr     6.8 ns       147.7M       🟰 0          ✅ +18%             ✅ +15%            
has 1K (seq)         14.5 ns      69.0M        🟰 0          ❔ uncertain        ✅ +25%            
has 1K (rnd)         20.3 ns      49.3M        🟰 0          ✅ +29%             ✅ +22%            
has 1K (sps)         14.8 ns      67.4M        🟰 0          ❌ -9%              ✅ +20%            
has 1K (dns)         14.2 ns      70.5M        🟰 0          ✅ +39%             ✅ +33%            
