name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         17.1 ns      58.5M        🟰 0          ✅ +13%             ✅ +17%            
set 1K (seq) clr     4.1 ns       244.8M       🟰 0          ✅ +34%             ✅ +18%            
set 1K (rnd)         27.1 ns      36.9M        🟰 0          ✅ +15%             ✅ +15%            
set 1K (rnd) clr     13.2 ns      75.8M        🟰 0          ✅ +40%             ✅ +19%            
set 1K (sps)         18.8 ns      53.2M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (sps) clr     4.8 ns       209.4M       🟰 0          ❔ uncertain        ✅ +44%            
set 1K (dns)         18.2 ns      54.9M        🟰 0          ✅ +19%             ✅ +10%            
set 1K (dns) clr     7.7 ns       129.1M       🟰 0          ✅ +10%             ✅ +32%            
set 1M (seq)         11.1 ns      90.3M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (seq) clr     3.0 ns       330.2M       🟰 0          ✅ +3.8x            ✅ +32%            
set 1M (rnd)         20.1 ns      49.7M        🟰 0          🟰 similar          ✅ +10%            
set 1M (rnd) clr     18.0 ns      55.5M        🟰 0          ✅ +73%             ✅ +6%             
set 1M (sps)         31.4 ns      31.8M        🟰 0          🟰 similar          ❔ uncertain       
set 1M (sps) clr     4.5 ns       222.1M       🟰 0          ✅ +2.7x            ✅ +45%            
set 1M (dns)         12.3 ns      81.2M        🟰 0          🟰 similar          ✅ +9%             
set 1M (dns) clr     6.8 ns       148.0M       🟰 0          ✅ +18%             ✅ +15%            
has 1K (seq)         13.1 ns      76.2M        🟰 0          ✅ +38%             ✅ +40%            
has 1K (rnd)         19.0 ns      52.6M        🟰 0          ✅ +38%             ✅ +36%            
has 1K (sps)         14.4 ns      69.6M        🟰 0          ❔ uncertain        ❔ uncertain       
has 1K (dns)         12.7 ns      78.7M        🟰 0          ❔ uncertain        ❔ uncertain       
has 1M (seq)         8.7 ns       114.4M       🟰 0          ✅ +10%             ✅ +16%            
has 1M (rnd)         19.6 ns      51.1M        🟰 0          🟰 similar          ❔ uncertain       
has 1M (sps)         25.5 ns      39.2M        🟰 0          ❔ uncertain        ✅ +39%            
has 1M (dns)         11.6 ns      86.5M        🟰 0          🟰 similar          ❔ uncertain       
