name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         17.3 ns      57.9M        🟰 0          ❔ uncertain        ✅ +17%            
set 1K (seq) clr     4.0 ns       248.3M       🟰 0          ✅ +36%             ✅ +20%            
set 1K (rnd)         27.0 ns      37.0M        🟰 0          ✅ +16%             ✅ +15%            
set 1K (rnd) clr     13.2 ns      75.7M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (sps)         18.8 ns      53.2M        🟰 0          ✅ +12%             ✅ +15%            
set 1K (sps) clr     4.8 ns       209.2M       🟰 0          ✅ +76%             ✅ +45%            
set 1K (dns)         18.3 ns      54.8M        🟰 0          ✅ +19%             ✅ +10%            
set 1K (dns) clr     7.6 ns       130.7M       🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (seq)         11.1 ns      89.7M        🟰 0          ❔ uncertain        ✅ +19%            
set 1M (seq) clr     3.0 ns       332.6M       🟰 0          ✅ +3.8x            ✅ +31%            
set 1M (rnd)         20.1 ns      49.8M        🟰 0          🟰 similar          ✅ +10%            
set 1M (rnd) clr     18.0 ns      55.5M        🟰 0          ✅ +73%             ✅ +8%             
set 1M (sps)         31.5 ns      31.7M        🟰 0          🟰 similar          ✅ +23%            
set 1M (sps) clr     4.5 ns       221.5M       🟰 0          ✅ +2.7x            ✅ +44%            
set 1M (dns)         12.4 ns      80.7M        🟰 0          🟰 similar          ✅ +9%             
set 1M (dns) clr     6.8 ns       148.0M       🟰 0          ✅ +18%             ✅ +15%            
has 1K (seq)         13.0 ns      76.9M        🟰 0          ✅ +40%             ✅ +40%            
has 1K (rnd)         18.8 ns      53.2M        🟰 0          ✅ +40%             ✅ +36%            
has 1K (sps)         14.2 ns      70.2M        🟰 0          ❔ uncertain        ✅ +25%            
has 1K (dns)         12.5 ns      79.7M        🟰 0          ✅ +57%             ✅ +44%            
has 1M (seq)         8.6 ns       116.3M       🟰 0          ✅ +12%             ✅ +15%            
has 1M (rnd)         19.6 ns      51.1M        🟰 0          🟰 similar          ❔ uncertain       
has 1M (sps)         25.1 ns      39.8M        🟰 0          ❔ uncertain        ❔ uncertain       
has 1M (dns)         11.5 ns      86.6M        🟰 0          🟰 similar          ❔ uncertain       
del 1K (seq)         5.3 ns       188.1M       🟰 0          ✅ +28%             ✅ +14%            
del 1K (seq) clr     14.0 ns      71.2M        🟰 0          ❌ -8%              ✅ +10%            
del 1K (rnd)         5.4 ns       186.7M       🟰 0          ✅ +27%             ✅ +14%            
del 1K (rnd) clr     10.5 ns      95.6M        🟰 0          ✅ +23%             ✅ +36%            
del 1K (sps)         5.4 ns       186.8M       🟰 0          ❔ uncertain        ✅ +14%            
del 1K (sps) clr     8.7 ns       114.6M       🟰 0          ❌ -12%             ✅ +19%            
del 1K (dns)         5.3 ns       187.4M       🟰 0          ✅ +25%             ✅ +14%            
del 1K (dns) clr     3.5 ns       289.1M       🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (seq)         5.3 ns       189.4M       🟰 0          ✅ +28%             ✅ +13%            
del 1M (seq) clr     4.9 ns       203.7M       🟰 0          ✅ +2.1x            ✅ +73%            
del 1M (rnd)         20.5 ns      48.8M        🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (rnd) clr     17.8 ns      56.0M        🟰 0          🟰 similar          ✅ +55%            
del 1M (sps)         5.4 ns       186.4M       🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (sps) clr     13.0 ns      77.0M        🟰 0          ✅ +8.1x            ✅ +5.4x           
del 1M (dns)         41.5 ns      24.1M        🟰 0          ❔ uncertain        ✅ +27%            
del 1M (dns) clr     18.1 ns      55.3M        🟰 0          🟰 similar          ✅ +36%            
and 1K (seq)         821.3 ns     1.2M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (rnd)         603.9 ns     1.7M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (sps)         1.2 µs       841.1K       ✅ 4          ❔ uncertain        ❔ uncertain       
and 1K (dns)         79.6 ns      12.6M        🟰 4          ✅ +2.3x            ✅ +44%            
and 1M (seq)         20.7 µs      48.4K        ✅ 4          ✅ +25%             ✅ +58%            
and 1M (rnd)         20.7 µs      48.4K        ✅ 4          ✅ +26%             ✅ +59%            
and 1M (sps)         1.9 ms       533          ✅ 4          ✅ +2.1x            ✅ +87%            
and 1M (dns)         2.4 µs       408.7K       ✅ 4          ✅ +20%             ✅ +3.0x           
or 1K (seq)          1.4 µs       727.5K       ✅ 5          ✅ +32%             ❔ uncertain       
or 1K (rnd)          1.0 µs       957.0K       ✅ 5          ❔ uncertain        ❔ uncertain       
or 1K (sps)          1.6 µs       642.1K       ✅ 5          ✅ +24%             ✅ +34%            
or 1K (dns)          102.3 ns     9.8M         ✅ 5          ✅ +3.5x            ✅ +4.8x           
or 1M (seq)          20.7 µs      48.3K        ✅ 4          ✅ +31%             ✅ +55%            
or 1M (rnd)          20.5 µs      48.8K        ✅ 4          ✅ +32%             ✅ +56%            
or 1M (sps)          2.2 ms       462          ✅ 5          ✅ +93%             ✅ +89%            
or 1M (dns)          2.6 µs       391.4K       ✅ 4          ✅ +26%             ✅ +294x           
xor 1K (seq)         1.2 µs       842.8K       ✅ 5          ✅ +18%             ✅ +5.8x           
xor 1K (rnd)         858.8 ns     1.2M         ✅ 5          ✅ +34%             ❔ uncertain       
xor 1K (sps)         1.6 µs       632.6K       ✅ 13         ✅ +23%             ✅ +15%            
xor 1K (dns)         95.5 ns      10.5M        ❌ 5          ✅ +79%             ✅ +38x            
xor 1M (seq)         21.5 µs      46.5K        ✅ 4          ✅ +26%             ✅ +2.6x           
xor 1M (rnd)         21.4 µs      46.8K        ✅ 4          ✅ +29%             ✅ +2.7x           
xor 1M (sps)         2.5 ms       398          ✅ 8.7K       ❔ uncertain        ❔ uncertain       
xor 1M (dns)         2.5 µs       401.3K       ✅ 4          ✅ +24%             ✅ +10.4x          
andnot 1K (seq)      970.1 ns     1.0M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (rnd)      757.4 ns     1.3M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (sps)      1.4 µs       722.9K       ✅ 4          ❔ uncertain        ❔ uncertain       
andnot 1K (dns)      81.3 ns      12.3M        ✅ 4          ✅ +2.2x            ✅ +49x            
andnot 1M (seq)      20.8 µs      48.1K        ✅ 4          ✅ +29%             ✅ +69%            
