name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.0 ns      52.7M        🟰 0          🟰 similar          ❔ uncertain       
set 1K (seq) clr     4.1 ns       244.6M       🟰 0          ✅ +36%             ✅ +19%            
set 1K (rnd)         28.6 ns      35.0M        🟰 0          ✅ +9%              ✅ +9%             
set 1K (rnd) clr     14.8 ns      67.7M        🟰 0          ✅ +23%             ✅ +9%             
set 1K (sps)         20.4 ns      48.9M        🟰 0          🟰 similar          ❔ uncertain       
set 1K (sps) clr     4.8 ns       209.5M       🟰 0          ❔ uncertain        ✅ +44%            
set 1K (dns)         19.8 ns      50.4M        🟰 0          ✅ +8%              🟰 similar         
set 1K (dns) clr     9.7 ns       103.1M       🟰 0          ❌ -14%             ✅ +11%            
set 1M (seq)         10.4 ns      96.6M        🟰 0          ✅ +12%             ✅ +27%            
set 1M (seq) clr     3.0 ns       331.3M       🟰 0          ✅ +3.8x            ✅ +33%            
set 1M (rnd)         20.2 ns      49.6M        🟰 0          🟰 similar          ✅ +10%            
set 1M (rnd) clr     18.2 ns      55.0M        🟰 0          ✅ +70%             ❔ uncertain       
set 1M (sps)         33.5 ns      29.8M        🟰 0          ❔ uncertain        ✅ +14%            
set 1M (sps) clr     4.5 ns       222.0M       🟰 0          ✅ +2.7x            ✅ +47%            
set 1M (dns)         12.0 ns      83.5M        🟰 0          ❔ uncertain        ✅ +12%            
set 1M (dns) clr     6.9 ns       145.5M       🟰 0          ✅ +19%             ✅ +13%            
has 1K (seq)         14.7 ns      67.8M        🟰 0          ✅ +23%             ✅ +23%            
has 1K (rnd)         20.8 ns      48.0M        🟰 0          ✅ +25%             ✅ +22%            
has 1K (sps)         15.2 ns      65.7M        🟰 0          ❌ -11%             ✅ +18%            
has 1K (dns)         14.3 ns      69.8M        🟰 0          ❔ uncertain        ❔ uncertain       
has 1M (seq)         9.8 ns       102.4M       🟰 0          ❔ uncertain        🟰 similar         
has 1M (rnd)         19.7 ns      50.8M        🟰 0          🟰 similar          ✅ +8%             
has 1M (sps)         27.6 ns      36.2M        🟰 0          🟰 similar          ✅ +27%            
has 1M (dns)         11.2 ns      89.0M        🟰 0          🟰 similar          ❔ uncertain       
del 1K (seq)         5.3 ns       190.1M       🟰 0          ✅ +28%             ✅ +26%            
del 1K (seq) clr     14.3 ns      70.0M        🟰 0          ❌ -9%              ✅ +9%             
del 1K (rnd)         5.2 ns       192.2M       🟰 0          ✅ +31%             ✅ +28%            
del 1K (rnd) clr     12.2 ns      82.0M        🟰 0          ✅ +11%             ✅ +18%            
del 1K (sps)         5.3 ns       189.9M       🟰 0          ✅ +27%             ✅ +27%            
