name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         17.0 ns      59.0M        🟰 0          ✅ +15%             ✅ +17%            
set 1K (seq) clr     4.1 ns       245.8M       🟰 0          ✅ +36%             ✅ +19%            
set 1K (rnd)         27.3 ns      36.6M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (rnd) clr     13.0 ns      77.1M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (sps)         19.0 ns      52.5M        🟰 0          ✅ +10%             ✅ +13%            
set 1K (sps) clr     4.8 ns       210.5M       🟰 0          ✅ +80%             ✅ +46%            
set 1K (dns)         18.2 ns      54.8M        🟰 0          ✅ +17%             ✅ +9%             
set 1K (dns) clr     7.7 ns       129.5M       🟰 0          ✅ +9%              ✅ +31%            
set 1M (seq)         10.1 ns      99.3M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (seq) clr     3.0 ns       332.2M       🟰 0          ✅ +3.8x            ✅ +33%            
set 1M (rnd)         20.2 ns      49.6M        🟰 0          🟰 similar          ✅ +9%             
set 1M (rnd) clr     18.0 ns      55.5M        🟰 0          ✅ +72%             ✅ +6%             
set 1M (sps)         31.2 ns      32.1M        🟰 0          🟰 similar          ✅ +24%            
set 1M (sps) clr     4.5 ns       222.1M       🟰 0          ✅ +2.7x            ✅ +44%            
set 1M (dns)         11.9 ns      84.1M        🟰 0          ❔ uncertain        ✅ +14%            
set 1M (dns) clr     6.8 ns       147.8M       🟰 0          ✅ +18%             ✅ +12%            
has 1K (seq)         12.8 ns      78.3M        🟰 0          ❔ uncertain        ✅ +42%            
has 1K (rnd)         18.8 ns      53.3M        🟰 0          ✅ +40%             ✅ +32%            
has 1K (sps)         14.3 ns      69.7M        🟰 0          ❔ uncertain        ✅ +25%            
has 1K (dns)         12.4 ns      80.9M        🟰 0          ✅ +60%             ✅ +47%            
has 1M (seq)         8.9 ns       111.7M       🟰 0          ❔ uncertain        ✅ +10%            
has 1M (rnd)         19.8 ns      50.6M        🟰 0          ❔ uncertain        ❔ uncertain       
has 1M (sps)         25.6 ns      39.1M        🟰 0          ❔ uncertain        ✅ +37%            
has 1M (dns)         10.9 ns      92.1M        🟰 0          ✅ +7%              ✅ +10%            
del 1K (seq)         5.3 ns       190.2M       🟰 0          ✅ +28%             ✅ +16%            
del 1K (seq) clr     14.3 ns      70.1M        🟰 0          ❌ -10%             ✅ +10%            
del 1K (rnd)         5.3 ns       187.8M       🟰 0          ✅ +28%             ✅ +17%            
del 1K (rnd) clr     10.4 ns      95.8M        🟰 0          ✅ +29%             ✅ +40%            
del 1K (sps)         5.3 ns       187.0M       🟰 0          ✅ +25%             ✅ +17%            
del 1K (sps) clr     7.9 ns       126.1M       🟰 0          ❔ uncertain        ✅ +33%            
del 1K (dns)         5.3 ns       188.2M       🟰 0          ✅ +26%             ✅ +17%            
del 1K (dns) clr     3.3 ns       301.7M       🟰 0          ✅ +45%             ✅ +70%            
del 1M (seq)         5.4 ns       184.9M       🟰 0          ✅ +28%             ✅ +15%            
del 1M (seq) clr     4.1 ns       241.8M       🟰 0          ✅ +2.5x            ✅ +2.1x           
del 1M (rnd)         20.9 ns      47.8M        🟰 0          🟰 similar          ✅ +12%            
del 1M (rnd) clr     17.5 ns      57.1M        🟰 0          🟰 similar          ✅ +57%            
del 1M (sps)         5.4 ns       186.2M       🟰 0          ✅ +28%             ✅ +18%            
del 1M (sps) clr     7.5 ns       132.9M       🟰 0          ✅ +14x             ✅ +9.3x           
del 1M (dns)         41.5 ns      24.1M        🟰 0          ❌ -8%              ✅ +26%            
del 1M (dns) clr     18.0 ns      55.4M        🟰 0          ❔ uncertain        ✅ +36%            
and 1K (seq)         809.0 ns     1.2M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (rnd)         586.6 ns     1.7M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (sps)         1.1 µs       871.2K       ✅ 4          ❔ uncertain        ❔ uncertain       
and 1K (dns)         78.0 ns      12.8M        🟰 4          ✅ +2.3x            ✅ +44%            
and 1M (seq)         20.8 µs      48.1K        ✅ 4          ✅ +27%             ✅ +57%            
and 1M (rnd)         20.8 µs      48.1K        ✅ 4          ✅ +25%             ✅ +55%            
and 1M (sps)         1.8 ms       541          ✅ 4          ✅ +2.2x            ✅ +86%            
and 1M (dns)         2.4 µs       416.0K       ✅ 4          ✅ +27%             ✅ +3.1x           
or 1K (seq)          1.4 µs       739.3K       ✅ 5          ✅ +34%             ❔ uncertain       
or 1K (rnd)          1.0 µs       969.2K       ✅ 5          ✅ +56%             ❔ uncertain       
or 1K (sps)          1.6 µs       640.8K       ✅ 5          ✅ +25%             ✅ +32%            
or 1K (dns)          101.0 ns     9.9M         ✅ 5          ✅ +3.5x            ✅ +4.8x           
or 1M (seq)          20.9 µs      48.0K        ✅ 4          ✅ +30%             ✅ +53%            
or 1M (rnd)          20.7 µs      48.2K        ✅ 4          ✅ +31%             ✅ +54%            
or 1M (sps)          2.2 ms       454          ✅ 5          ✅ +90%             ✅ +89%            
or 1M (dns)          2.5 µs       396.1K       ✅ 4          ❔ uncertain        ❔ uncertain       
xor 1K (seq)         1.2 µs       803.4K       ✅ 5          ❔ uncertain        ✅ +5.4x           
xor 1K (rnd)         882.6 ns     1.1M         ✅ 5          ✅ +33%             ❌ -8%             
xor 1K (sps)         1.7 µs       601.2K       ✅ 13         ✅ +16%             ❔ uncertain       
xor 1K (dns)         94.1 ns      10.6M        ❌ 5          ✅ +84%             ✅ +36x            
xor 1M (seq)         21.1 µs      47.4K        ✅ 4          ✅ +29%             ✅ +2.6x           
xor 1M (rnd)         20.7 µs      48.3K        ✅ 4          ✅ +31%             ✅ +2.6x           
xor 1M (sps)         2.4 ms       415          ✅ 8.7K       ✅ +74%             ✅ +68%            
xor 1M (dns)         2.5 µs       405.5K       ✅ 4          ✅ +22%             ✅ +10.6x          
andnot 1K (seq)      966.1 ns     1.0M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (rnd)      756.4 ns     1.3M         🟰 4          ❔ uncertain        ❔ uncertain       
