name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         18.4 ns      54.5M        🟰 0          ✅ +10%             ✅ +12%            
set 1K (seq) batch   5.3 ns       188.5M       0            new                🟰 similar         
set 1K (rnd)         28.7 ns      34.8M        🟰 0          ✅ +13%             ✅ +8%             
set 1K (rnd) batch   19.2 ns      52.0M        0            new                ❌ -15%            
set 1K (sps)         19.1 ns      52.4M        🟰 0          ✅ +12%             ✅ +13%            
set 1K (sps) batch   8.0 ns       125.1M       0            new                ❌ -13%            
set 1K (dns)         19.6 ns      51.0M        🟰 0          ✅ +8%              🟰 similar         
set 1K (dns) batch   8.1 ns       123.1M       0            new                ✅ +31%            
set 1M (seq)         12.0 ns      83.2M        🟰 0          🟰 similar          ✅ +15%            
set 1M (seq) batch   11.1 ns      90.2M        0            new                ❌ -64%            
set 1M (rnd)         20.2 ns      49.5M        🟰 0          🟰 similar          ✅ +13%            
set 1M (rnd) batch   19.7 ns      50.7M        0            new                🟰 similar         
set 1M (sps)         32.2 ns      31.1M        🟰 0          🟰 similar          ✅ +22%            
set 1M (sps) batch   12.7 ns      78.9M        0            new                ❌ -40%            
set 1M (dns)         16.1 ns      61.9M        🟰 0          ❌ -18%             🟰 similar         
set 1M (dns) batch   8.1 ns       123.8M       0            new                🟰 similar         
has 1K (seq)         17.5 ns      57.0M        🟰 0          ✅ +8%              🟰 similar         
has 1K (rnd)         24.8 ns      40.3M        🟰 0          ✅ +6%              🟰 similar         
has 1K (sps)         12.9 ns      77.8M        🟰 0          ✅ +16%             ✅ +42%            
has 1K (dns)         18.2 ns      55.0M        🟰 0          ✅ +8%              🟰 similar         
has 1M (seq)         9.6 ns       103.7M       🟰 0          ✅ +13%             ✅ +11%            
has 1M (rnd)         19.0 ns      52.6M        🟰 0          ✅ +6%              ✅ +10%            
has 1M (sps)         27.2 ns      36.8M        🟰 0          🟰 similar          ✅ +30%            
has 1M (dns)         12.2 ns      82.2M        🟰 0          🟰 similar          🟰 similar         
del 1K (seq)         7.6 ns       131.3M       🟰 0          🟰 similar          🟰 similar         
del 1K (seq) batch   12.9 ns      77.7M        0            new                ✅ +22%            
del 1K (rnd)         8.0 ns       125.4M       🟰 0          🟰 similar          🟰 similar         
del 1K (rnd) batch   13.1 ns      76.3M        0            new                ✅ +24%            
del 1K (sps)         8.2 ns       121.3M       🟰 0          ❌ -11%             🟰 similar         
del 1K (sps) batch   13.8 ns      72.3M        0            new                ✅ +26%            
del 1K (dns)         8.7 ns       115.3M       🟰 0          ❌ -16%             🟰 similar         
del 1K (dns) batch   5.4 ns       185.1M       0            new                ✅ +20%            
del 1M (seq)         7.9 ns       126.1M       🟰 0          ✅ +14%             🟰 similar         
del 1M (seq) batch   11.0 ns      90.5M        0            new                🟰 similar         
del 1M (rnd)         21.1 ns      47.5M        🟰 0          ✅ +35%             ✅ +14%            
del 1M (rnd) batch   17.5 ns      57.1M        0            new                ✅ +58%            
del 1M (sps)         7.8 ns       128.6M       🟰 0          🟰 similar          ✅ +63%            
del 1M (sps) batch   107.7 ns     9.3M         0            new                ❌ -34%            
del 1M (dns)         39.9 ns      25.1M        🟰 0          🟰 similar          ✅ +36%            
del 1M (dns) batch   18.5 ns      54.1M        0            new                ✅ +32%            
and 1K (seq)         836.3 ns     1.2M         🟰 4          🟰 similar          🟰 similar         
and 1K (rnd)         588.3 ns     1.7M         🟰 4          🟰 similar          ❌ -6%             
and 1K (sps)         1.2 µs       853.3K       ✅ 4          🟰 similar          🟰 similar         
and 1K (dns)         173.9 ns     5.8M         🟰 4          🟰 similar          ❌ -33%            
and 1M (seq)         20.2 µs      49.6K        ✅ 4          ✅ +41%             ✅ +71%            
and 1M (rnd)         28.1 µs      35.6K        ✅ 4          ✅ +36%             ✅ +67%            
and 1M (sps)         4.2 ms       240          ✅ 4          🟰 similar          🟰 similar         
and 1M (dns)         2.4 µs       423.4K       ✅ 4          ✅ +63%             ✅ +3.2x           
or 1K (seq)          1.2 µs       803.1K       ✅ 5          ✅ +67%             ✅ +18%            
or 1K (rnd)          954.0 ns     1.0M         ✅ 5          ✅ +55%             ✅ +16%            
or 1K (sps)          1.6 µs       607.6K       ✅ 11         🟰 similar          ✅ +26%            
or 1K (dns)          242.4 ns     4.1M         ✅ 5          ✅ +38%             ✅ +2.1x           
or 1M (seq)          21.3 µs      47.0K        ✅ 4          ✅ +17%             ✅ +57%            
or 1M (rnd)          21.8 µs      46.0K        ✅ 4          🟰 similar          ✅ +67%            
or 1M (sps)          4.0 ms       249          ✅ 8.7K       🟰 similar          🟰 similar         
or 1M (dns)          2.6 µs       389.9K       ✅ 4          🟰 similar          ✅ +293x           
xor 1K (seq)         1.6 µs       641.8K       ✅ 7          ❌ -15%             ✅ +6.0x           
xor 1K (rnd)         1.5 µs       662.1K       ✅ 7          ❌ -27%             🟰 similar         
xor 1K (sps)         2.1 µs       472.0K       ✅ 15         ✅ +19%             🟰 similar         
xor 1K (dns)         293.5 ns     3.4M         ❌ 7          ❌ -29%             ✅ +15x            
xor 1M (seq)         26.9 µs      37.2K        ✅ 6          🟰 similar          ✅ +2.7x           
xor 1M (rnd)         19.7 µs      50.8K        ✅ 6          ✅ +3.4x            ✅ +2.9x           
xor 1M (sps)         4.0 ms       249          ✅ 8.7K       🟰 similar          🟰 similar         
xor 1M (dns)         2.3 µs       428.2K       ✅ 6          ✅ +21%             ✅ +12x            
andnot 1K (seq)      905.7 ns     1.1M         🟰 4          ✅ +12%             🟰 similar         
andnot 1K (rnd)      714.0 ns     1.4M         🟰 4          🟰 similar          🟰 similar         
andnot 1K (sps)      1.3 µs       764.6K       ✅ 4          🟰 similar          🟰 similar         
andnot 1K (dns)      151.1 ns     6.6M         🟰 4          🟰 similar          ✅ +25x            
andnot 1M (seq)      20.5 µs      48.9K        ✅ 4          ✅ +30%             ✅ +76%            
andnot 1M (rnd)      20.7 µs      48.2K        ✅ 4          ✅ +20%             ✅ +94%            
andnot 1M (sps)      4.2 ms       236          ✅ 4          🟰 similar          🟰 similar         
andnot 1M (dns)      4.1 µs       241.1K       ✅ 4          ❌ -33%             ✅ +11x            
range 1K (seq)       598.2 ns     1.7M         🟰 0          🟰 similar          🟰 similar         
range 1K (rnd)       424.8 ns     2.4M         🟰 0          ✅ +24%             🟰 similar         
range 1K (sps)       600.5 ns     1.7M         🟰 0          ✅ +12%             ✅ +27%            
range 1K (dns)       109.8 ns     9.1M         🟰 0          ✅ +19%             🟰 similar         
range 1M (seq)       559.2 µs     1.8K         🟰 0          ✅ +4.1x            ✅ +2.8x           
range 1M (rnd)       459.8 µs     2.2K         🟰 0          ✅ +4.6x            ✅ +2.8x           
range 1M (sps)       562.7 µs     1.8K         🟰 0          ✅ +25%             ✅ +11%            
range 1M (dns)       102.3 µs     9.8K         🟰 0          ✅ +92%             ✅ +3.0x           
write seq            62.0 ns      16.1M        ✅ 3          ✅ +2.3x            ✅ +15x            
read seq             114.3 ns     8.7M         ✅ 7          ✅ +93%             ✅ +12x            
write rnd            2.8 µs       361.6K       ✅ 5          🟰 similar          🟰 similar         
read rnd             3.3 µs       305.1K       ✅ 7          ✅ +65%             ❌ -17%            
write sps            85.7 µs      11.7K        ✅ 15         ✅ +67%             🟰 similar         
read sps             87.1 µs      11.5K        ✅ 1.6K       ✅ +67%             ❌ -14%            
write dns            897.5 ns     1.1M         ✅ 4          🟰 similar          🟰 similar         
read dns             1.7 µs       593.7K       ✅ 5          ✅ +61%             ❌ -17%            
