name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         20.1 ns      49.6M        🟰 0          🟰 similar          🟰 similar         
set 1K (seq) batch   5.2 ns       191.0M       🟰 0          🟰 similar          🟰 similar         
set 1K (rnd)         29.3 ns      34.1M        🟰 0          🟰 similar          ✅ +7%             
set 1K (rnd) batch   18.6 ns      53.7M        🟰 0          ❌ -16%             ❌ -15%            
set 1K (sps)         19.7 ns      50.8M        🟰 0          🟰 similar          🟰 similar         
set 1K (sps) batch   6.1 ns       163.3M       🟰 0          🟰 similar          ✅ +14%            
set 1K (dns)         18.9 ns      53.0M        🟰 0          🟰 similar          ✅ +7%             
set 1K (dns) batch   8.2 ns       121.8M       🟰 0          ✅ +8%              ✅ +24%            
set 1M (seq)         11.4 ns      87.7M        🟰 0          ✅ +10%             ✅ +20%            
set 1M (seq) batch   3.6 ns       279.5M       🟰 0          ✅ +3.3x            ✅ +11%            
set 1M (rnd)         19.9 ns      50.2M        🟰 0          ✅ +12%             ✅ +12%            
set 1M (rnd) batch   19.7 ns      50.9M        🟰 0          🟰 similar          🟰 similar         
set 1M (sps)         30.9 ns      32.4M        🟰 0          🟰 similar          ✅ +28%            
set 1M (sps) batch   5.7 ns       174.7M       🟰 0          🟰 similar          ✅ +16%            
set 1M (dns)         12.5 ns      80.3M        🟰 0          🟰 similar          ✅ +9%             
set 1M (dns) batch   7.3 ns       137.8M       🟰 0          ✅ +39%             🟰 similar         
has 1K (seq)         17.5 ns      57.3M        🟰 0          ✅ +36%             ✅ +7%             
has 1K (rnd)         23.9 ns      41.9M        🟰 0          ✅ +35%             🟰 similar         
has 1K (sps)         13.2 ns      76.0M        🟰 0          🟰 similar          ✅ +41%            
has 1K (dns)         16.2 ns      61.7M        🟰 0          🟰 similar          ✅ +16%            
has 1M (seq)         10.0 ns      100.2M       🟰 0          🟰 similar          ✅ +14%            
has 1M (rnd)         19.3 ns      51.8M        🟰 0          🟰 similar          ✅ +8%             
has 1M (sps)         27.4 ns      36.5M        🟰 0          🟰 similar          ✅ +30%            
has 1M (dns)         11.6 ns      86.5M        🟰 0          🟰 similar          ✅ +9%             
del 1K (seq)         6.0 ns       166.4M       🟰 0          🟰 similar          ✅ +13%            
del 1K (seq) batch   12.3 ns      81.1M        🟰 0          🟰 similar          ✅ +26%            
del 1K (rnd)         6.2 ns       160.2M       🟰 0          🟰 similar          ✅ +12%            
del 1K (rnd) batch   12.8 ns      78.1M        🟰 0          🟰 similar          ✅ +22%            
del 1K (sps)         5.9 ns       168.7M       🟰 0          ✅ +11%             ✅ +12%            
del 1K (sps) batch   7.5 ns       133.0M       🟰 0          🟰 similar          ✅ +39%            
del 1K (dns)         6.4 ns       157.3M       🟰 0          🟰 similar          ✅ +13%            
del 1K (dns) batch   4.6 ns       217.1M       🟰 0          ❌ -12%             ✅ +36%            
del 1M (seq)         6.4 ns       155.5M       🟰 0          🟰 similar          ✅ +13%            
del 1M (seq) batch   4.5 ns       221.6M       🟰 0          ✅ +2.3x            ✅ +90%            
del 1M (rnd)         21.1 ns      47.5M        🟰 0          🟰 similar          ✅ +13%            
del 1M (rnd) batch   17.9 ns      56.0M        🟰 0          🟰 similar          ✅ +54%            
del 1M (sps)         6.6 ns       151.4M       🟰 0          🟰 similar          ✅ +85%            
del 1M (sps) batch   7.3 ns       136.9M       🟰 0          🟰 similar          ✅ +9.6x           
del 1M (dns)         38.5 ns      25.9M        🟰 0          🟰 similar          ✅ +36%            
del 1M (dns) batch   18.0 ns      55.6M        🟰 0          🟰 similar          ✅ +36%            
and 1K (seq)         952.4 ns     1.0M         🟰 4          ✅ +65%             ❌ -13%            
and 1K (rnd)         682.3 ns     1.5M         🟰 4          ✅ +62%             ❌ -17%            
and 1K (sps)         1.3 µs       799.8K       🟰 4          ✅ +47%             🟰 similar         
and 1K (dns)         168.4 ns     5.9M         🟰 4          ✅ +55%             ❌ -31%            
and 1M (seq)         20.7 µs      48.4K        ❌ 4          🟰 similar          ✅ +67%            
and 1M (rnd)         19.8 µs      50.6K        ✅ 4          🟰 similar          ✅ +64%            
and 1M (sps)         3.5 ms       284          🟰 4          ❌ -46%             🟰 similar         
and 1M (dns)         3.1 µs       327.4K       ✅ 4          🟰 similar          ✅ +3.3x           
or 1K (seq)          1.5 µs       662.0K       🟰 5          ✅ +36%             🟰 similar         
or 1K (rnd)          1.2 µs       806.5K       🟰 5          ✅ +20%             🟰 similar         
or 1K (sps)          1.5 µs       683.4K       ✅ 5          ✅ +58%             ✅ +41%            
or 1K (dns)          222.6 ns     4.5M         ❌ 5          ✅ +58%             ✅ +2.2x           
or 1M (seq)          20.0 µs      49.9K        🟰 4          🟰 similar          ✅ +62%            
or 1M (rnd)          19.7 µs      50.7K        ✅ 4          ✅ +2.5x            ✅ +61%            
or 1M (sps)          3.7 ms       268          ✅ 5          🟰 similar          ✅ +9%             
or 1M (dns)          2.6 µs       386.9K       ✅ 4          ✅ +7.3x            ✅ +291x           
xor 1K (seq)         1.3 µs       743.5K       ✅ 7          ✅ +96%             ✅ +5.1x           
xor 1K (rnd)         987.5 ns     1.0M         ❌ 7          ✅ +86%             ❌ -17%            
xor 1K (sps)         1.7 µs       585.2K       ✅ 7          ✅ +99%             🟰 similar         
xor 1K (dns)         236.0 ns     4.2M         ❌ 7          ✅ +2.2x            ✅ +15x            
xor 1M (seq)         20.1 µs      49.7K        ✅ 6          ✅ +71%             ✅ +2.7x           
xor 1M (rnd)         19.5 µs      51.3K        ✅ 6          ✅ +67%             ✅ +2.8x           
xor 1M (sps)         3.9 ms       256          ✅ 7          ❌ -28%             🟰 similar         
xor 1M (dns)         2.4 µs       424.3K       ❌ 6          ✅ +62%             ✅ +12x            
andnot 1K (seq)      910.6 ns     1.1M         🟰 4          ✅ +97%             🟰 similar         
andnot 1K (rnd)      723.7 ns     1.4M         🟰 4          ✅ +80%             🟰 similar         
andnot 1K (sps)      1.3 µs       756.7K       🟰 4          ✅ +52%             🟰 similar         
andnot 1K (dns)      153.6 ns     6.5M         🟰 4          ✅ +2.1x            ✅ +25x            
andnot 1M (seq)      19.9 µs      50.3K        🟰 4          ✅ +12%             ✅ +75%            
andnot 1M (rnd)      19.3 µs      51.8K        🟰 4          ✅ +15%             ✅ +92%            
andnot 1M (sps)      3.6 ms       279          🟰 4          ❌ -47%             🟰 similar         
andnot 1M (dns)      2.3 µs       432.0K       ✅ 4          🟰 similar          ✅ +12x            
range 1K (seq)       575.5 ns     1.7M         🟰 0          🟰 similar          ❌ -10%            
range 1K (rnd)       439.8 ns     2.3M         🟰 0          🟰 similar          ❌ -10%            
range 1K (sps)       603.7 ns     1.7M         🟰 0          🟰 similar          ✅ +19%            
range 1K (dns)       119.1 ns     8.4M         🟰 0          🟰 similar          🟰 similar         
range 1M (seq)       561.9 µs     1.8K         🟰 0          🟰 similar          ✅ +2.8x           
range 1M (rnd)       463.3 µs     2.2K         🟰 0          🟰 similar          ✅ +2.7x           
range 1M (sps)       587.5 µs     1.7K         🟰 0          ✅ +19%             ✅ +8%             
range 1M (dns)       102.7 µs     9.7K         🟰 0          🟰 similar          ✅ +3.0x           
write seq            60.5 ns      16.5M        🟰 3          🟰 similar          ✅ +15x            
read seq             88.0 ns      11.4M        ✅ 6          ✅ +31%             ✅ +16x            
write rnd            2.5 µs       392.9K       ❌ 5          ✅ +28%             🟰 similar         
read rnd             3.0 µs       328.7K       ✅ 6          🟰 similar          ❌ -14%            
write sps            82.4 µs      12.1K        🟰 15         🟰 similar          ✅ +11%            
read sps             70.6 µs      14.2K        ✅ 1.5K       ✅ +22%             🟰 similar         
write dns            923.6 ns     1.1M         ✅ 4          🟰 similar          🟰 similar         
read dns             1.6 µs       636.0K       ❌ 5          🟰 similar          ❌ -14%            
