name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.4 ns      51.7M        0            ❔ new              🟰 similar         
set 1K (seq) clr     5.5 ns       183.2M       0            ❔ new              ❌ -12%            
set 1K (rnd)         31.2 ns      32.1M        0            ❔ new              🟰 similar         
set 1K (rnd) clr     18.4 ns      54.3M        0            ❔ new              ❌ -12%            
set 1K (sps)         21.0 ns      47.6M        0            ❔ new              🟰 similar         
set 1K (sps) clr     8.4 ns       118.6M       0            ❔ new              ❌ -18%            
set 1K (dns)         21.7 ns      46.2M        0            ❔ new              ❔ uncertain       
set 1K (dns) clr     8.5 ns       117.1M       0            ❔ new              ✅ +23%            
set 1M (seq)         11.8 ns      84.4M        0            ❔ new              ❔ uncertain       
set 1M (seq) clr     11.5 ns      86.7M        0            ❔ new              ❌ -65%            
set 1M (rnd)         20.2 ns      49.6M        0            ❔ new              ✅ +9%             
set 1M (rnd) clr     31.2 ns      32.1M        0            ❔ new              ❌ -38%            
set 1M (sps)         31.9 ns      31.3M        0            ❔ new              ✅ +21%            
set 1M (sps) clr     12.1 ns      82.8M        0            ❔ new              ❌ -44%            
set 1M (dns)         12.7 ns      78.8M        0            ❔ new              ❔ uncertain       
set 1M (dns) clr     8.0 ns       124.9M       0            ❔ new              ❔ uncertain       
has 1K (seq)         18.2 ns      55.1M        0            ❔ new              🟰 similar         
has 1K (rnd)         26.2 ns      38.1M        0            ❔ new              ❔ uncertain       
has 1K (sps)         13.5 ns      73.9M        0            ❔ new              ✅ +34%            
has 1K (dns)         19.8 ns      50.6M        0            ❔ new              ❔ uncertain       
has 1M (seq)         9.6 ns       104.0M       0            ❔ new              ✅ +9%             
has 1M (rnd)         19.0 ns      52.5M        0            ❔ new              ✅ +9%             
has 1M (sps)         27.0 ns      37.1M        0            ❔ new              ✅ +30%            
has 1M (dns)         11.7 ns      85.5M        0            ❔ new              🟰 similar         
del 1K (seq)         6.8 ns       146.4M       0            ❔ new              ❔ uncertain       
del 1K (seq) clr     12.9 ns      77.5M        0            ❔ new              ❔ uncertain       
del 1K (rnd)         6.8 ns       146.7M       0            ❔ new              ❔ uncertain       
del 1K (rnd) clr     12.9 ns      77.5M        0            ❔ new              ✅ +11%            
del 1K (sps)         6.6 ns       152.0M       0            ❔ new              ❔ uncertain       
del 1K (sps) clr     7.7 ns       130.3M       0            ❔ new              ✅ +35%            
del 1K (dns)         6.7 ns       149.9M       0            ❔ new              ❔ uncertain       
del 1K (dns) clr     4.8 ns       207.0M       0            ❔ new              ✅ +18%            
del 1M (seq)         6.7 ns       148.5M       0            ❔ new              ❔ uncertain       
del 1M (seq) clr     10.5 ns      95.2M        0            ❔ new              ❌ -18%            
del 1M (rnd)         20.4 ns      49.1M        0            ❔ new              ✅ +12%            
del 1M (rnd) clr     17.6 ns      56.7M        0            ❔ new              ✅ +56%            
del 1M (sps)         7.0 ns       143.7M       0            ❔ new              ❔ uncertain       
del 1M (sps) clr     105.4 ns     9.5M         0            ❔ new              ❌ -34%            
del 1M (dns)         39.0 ns      25.6M        0            ❔ new              ✅ +34%            
del 1M (dns) clr     18.2 ns      55.0M        0            ❔ new              ✅ +33%            
and 1K (seq)         830.3 ns     1.2M         4            ❔ new              ❔ uncertain       
and 1K (rnd)         609.4 ns     1.6M         4            ❔ new              ❔ uncertain       
and 1K (sps)         1.2 µs       821.2K       19           ❔ new              ❔ uncertain       
and 1K (dns)         180.0 ns     5.6M         4            ❔ new              ❌ -37%            
and 1M (seq)         25.8 µs      38.7K        19           ❔ new              ✅ +22%            
and 1M (rnd)         26.1 µs      38.4K        19           ❔ new              ✅ +25%            
and 1M (sps)         3.9 ms       259          15.3K        ❔ new              ❌ -13%            
and 1M (dns)         2.9 µs       341.6K       5            ❔ new              ✅ +2.5x           
or 1K (seq)          1.8 µs       551.9K       16           ❔ new              ❌ -19%            
or 1K (rnd)          1.6 µs       625.6K       16           ❔ new              ❌ -32%            
or 1K (sps)          1.9 µs       517.7K       32           ❔ new              ❔ uncertain       
or 1K (dns)          355.7 ns     2.8M         12           ❔ new              ✅ +36%            
or 1M (seq)          27.0 µs      37.0K        27           ❔ new              ✅ +17%            
or 1M (rnd)          27.0 µs      37.1K        27           ❔ new              ✅ +17%            
or 1M (sps)          4.2 ms       239          15.3K        ❔ new              ❔ uncertain       
or 1M (dns)          3.2 µs       310.5K       8            ❔ new              ❔ uncertain       
xor 1K (seq)         1.4 µs       717.2K       14           ❔ new              ❔ uncertain       
xor 1K (rnd)         1.2 µs       867.7K       14           ❔ new              ❌ -30%            
xor 1K (sps)         1.9 µs       515.1K       32           ❔ new              ❔ uncertain       
xor 1K (dns)         171.1 ns     5.8M         4            ❔ new              ✅ +20x            
xor 1M (seq)         27.0 µs      37.1K        27           ❔ new              ✅ +2.0x           
xor 1M (rnd)         27.6 µs      36.3K        27           ❔ new              ✅ +2.0x           
xor 1M (sps)         4.2 ms       239          15.3K        ❔ new              ❔ uncertain       
xor 1M (dns)         3.1 µs       324.4K       8            ❔ new              ✅ +8.4x           
andnot 1K (seq)      934.6 ns     1.1M         4            ❔ new              🟰 similar         
andnot 1K (rnd)      730.1 ns     1.4M         4            ❔ new              ❔ uncertain       
andnot 1K (sps)      1.4 µs       707.7K       19           ❔ new              ❔ uncertain       
andnot 1K (dns)      176.7 ns     5.7M         5            ❔ new              ✅ +22x            
andnot 1M (seq)      26.8 µs      37.3K        19           ❔ new              ✅ +30%            
andnot 1M (rnd)      93.5 µs      10.7K        19           ❔ new              ❌ -60%            
andnot 1M (sps)      4.0 ms       249          15.3K        ❔ new              ❌ -15%            
andnot 1M (dns)      3.0 µs       331.3K       5            ❔ new              ✅ +9.2x           
range 1K (seq)       615.0 ns     1.6M         0            ❔ new              ❌ -15%            
range 1K (rnd)       470.0 ns     2.1M         0            ❔ new              ❌ -16%            
range 1K (sps)       687.3 ns     1.5M         0            ❔ new              ❔ uncertain       
range 1K (dns)       133.8 ns     7.5M         0            ❔ new              ❌ -16%            
range 1M (seq)       2.3 ms       435          0            ❔ new              ❌ -32%            
range 1M (rnd)       2.1 ms       476          0            ❔ new              ❌ -39%            
range 1M (sps)       676.0 µs     1.5K         0            ❔ new              ❔ uncertain       
range 1M (dns)       195.9 µs     5.1K         0            ❔ new              ✅ +60%            
write seq            147.2 ns     6.8M         9            ❔ new              ✅ +6.3x           
read seq             226.3 ns     4.4M         13           ❔ new              ✅ +6.5x           
write rnd            2.8 µs       352.1K       11           ❔ new              ❔ uncertain       
read rnd             5.9 µs       168.6K       13           ❔ new              ❌ -56%            
write sps            139.1 µs     7.2K         4.6K         ❔ new              ❌ -37%            
read sps             151.7 µs     6.6K         6.1K         ❔ new              ❌ -50%            
write dns            1.1 µs       939.2K       7            ❔ new              ❔ uncertain       
read dns             2.9 µs       345.8K       8            ❔ new              ❌ -53%            
