name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.6 ns      51.0M        0            ❔ new              ❔ uncertain       
set 1K (seq) clr     5.6 ns       178.9M       0            ❔ new              ❌ -12%            
set 1K (rnd)         31.7 ns      31.6M        0            ❔ new              🟰 similar         
set 1K (rnd) clr     19.0 ns      52.5M        0            ❔ new              ❌ -14%            
set 1K (sps)         21.3 ns      46.9M        0            ❔ new              🟰 similar         
set 1K (sps) clr     8.7 ns       114.7M       0            ❔ new              ❌ -20%            
set 1K (dns)         22.2 ns      45.1M        0            ❔ new              ❌ -8%             
set 1K (dns) clr     8.7 ns       115.5M       0            ❔ new              ❔ uncertain       
set 1M (seq)         12.0 ns      83.2M        0            ❔ new              ✅ +13%            
set 1M (seq) clr     11.3 ns      88.6M        0            ❔ new              ❌ -64%            
set 1M (rnd)         20.2 ns      49.4M        0            ❔ new              ✅ +10%            
set 1M (rnd) clr     31.3 ns      31.9M        0            ❔ new              ❌ -38%            
set 1M (sps)         31.4 ns      31.8M        0            ❔ new              ✅ +25%            
set 1M (sps) clr     12.4 ns      80.4M        0            ❔ new              ❌ -44%            
set 1M (dns)         13.1 ns      76.1M        0            ❔ new              ❔ uncertain       
set 1M (dns) clr     8.3 ns       121.1M       0            ❔ new              ❔ uncertain       
has 1K (seq)         18.3 ns      54.8M        0            ❔ new              🟰 similar         
has 1K (rnd)         26.4 ns      37.9M        0            ❔ new              ❔ uncertain       
has 1K (sps)         13.7 ns      72.9M        0            ❔ new              ✅ +30%            
has 1K (dns)         19.8 ns      50.6M        0            ❔ new              ❔ uncertain       
has 1M (seq)         9.8 ns       101.7M       0            ❔ new              ❔ uncertain       
has 1M (rnd)         19.2 ns      52.0M        0            ❔ new              ✅ +11%            
has 1M (sps)         27.2 ns      36.8M        0            ❔ new              ❔ uncertain       
has 1M (dns)         12.0 ns      83.5M        0            ❔ new              ❔ uncertain       
del 1K (seq)         6.6 ns       151.2M       0            ❔ new              ❔ uncertain       
del 1K (seq) clr     13.0 ns      77.1M        0            ❔ new              ✅ +19%            
del 1K (rnd)         6.8 ns       146.9M       0            ❔ new              ❔ uncertain       
del 1K (rnd) clr     13.7 ns      73.2M        0            ❔ new              ❔ uncertain       
del 1K (sps)         6.7 ns       148.7M       0            ❔ new              ❔ uncertain       
del 1K (sps) clr     7.7 ns       130.3M       0            ❔ new              ✅ +36%            
del 1K (dns)         6.8 ns       147.3M       0            ❔ new              ❔ uncertain       
del 1K (dns) clr     4.8 ns       206.8M       0            ❔ new              ✅ +19%            
del 1M (seq)         6.9 ns       144.8M       0            ❔ new              ❔ uncertain       
del 1M (seq) clr     10.1 ns      99.0M        0            ❔ new              ❔ uncertain       
del 1M (rnd)         20.4 ns      49.0M        0            ❔ new              ❔ uncertain       
del 1M (rnd) clr     17.6 ns      56.9M        0            ❔ new              ✅ +57%            
del 1M (sps)         7.2 ns       139.6M       0            ❔ new              ❔ uncertain       
del 1M (sps) clr     105.7 ns     9.5M         0            ❔ new              ❌ -34%            
del 1M (dns)         39.3 ns      25.4M        0            ❔ new              ✅ +33%            
del 1M (dns) clr     18.3 ns      54.8M        0            ❔ new              ✅ +34%            
and 1K (seq)         826.3 ns     1.2M         4            ❔ new              ❔ uncertain       
and 1K (rnd)         611.4 ns     1.6M         4            ❔ new              ❌ -10%            
and 1K (sps)         1.2 µs       826.0K       19           ❔ new              🟰 similar         
and 1K (dns)         178.3 ns     5.6M         4            ❔ new              ❌ -36%            
and 1M (seq)         26.4 µs      37.9K        19           ❔ new              ✅ +23%            
and 1M (rnd)         26.4 µs      37.9K        19           ❔ new              ✅ +23%            
and 1M (sps)         4.0 ms       250          15.3K        ❔ new              ❌ -15%            
and 1M (dns)         3.0 µs       331.9K       5            ❔ new              ✅ +2.4x           
or 1K (seq)          1.8 µs       548.8K       16           ❔ new              ❌ -20%            
or 1K (rnd)          1.6 µs       636.9K       16           ❔ new              ❌ -32%            
or 1K (sps)          1.9 µs       514.2K       32           ❔ new              ❔ uncertain       
or 1K (dns)          356.0 ns     2.8M         12           ❔ new              ✅ +37%            
or 1M (seq)          27.6 µs      36.2K        27           ❔ new              ✅ +15%            
or 1M (rnd)          27.4 µs      36.5K        27           ❔ new              ✅ +16%            
or 1M (sps)          4.3 ms       234          15.3K        ❔ new              ❔ uncertain       
or 1M (dns)          3.2 µs       311.1K       8            ❔ new              ✅ +239x           
xor 1K (seq)         1.4 µs       707.9K       14           ❔ new              ✅ +4.9x           
xor 1K (rnd)         1.1 µs       870.5K       14           ❔ new              ❌ -30%            
xor 1K (sps)         2.0 µs       512.7K       32           ❔ new              ❔ uncertain       
xor 1K (dns)         169.5 ns     5.9M         4            ❔ new              ✅ +20x            
xor 1M (seq)         27.8 µs      36.0K        27           ❔ new              ✅ +98%            
xor 1M (rnd)         27.4 µs      36.5K        27           ❔ new              ✅ +99%            
xor 1M (sps)         4.2 ms       240          15.3K        ❔ new              ❔ uncertain       
xor 1M (dns)         3.1 µs       318.9K       8            ❔ new              ✅ +8.3x           
andnot 1K (seq)      921.2 ns     1.1M         4            ❔ new              ❔ uncertain       
andnot 1K (rnd)      728.4 ns     1.4M         4            ❔ new              🟰 similar         
andnot 1K (sps)      1.4 µs       724.1K       19           ❔ new              ❔ uncertain       
andnot 1K (dns)      174.6 ns     5.7M         5            ❔ new              ✅ +22x            
andnot 1M (seq)      26.1 µs      38.4K        19           ❔ new              ✅ +29%            
andnot 1M (rnd)      93.0 µs      10.7K        19           ❔ new              ❌ -60%            
andnot 1M (sps)      4.0 ms       250          15.3K        ❔ new              ❌ -16%            
andnot 1M (dns)      3.0 µs       334.3K       5            ❔ new              ✅ +9.1x           
range 1K (seq)       602.5 ns     1.7M         0            ❔ new              ❌ -15%            
range 1K (rnd)       459.6 ns     2.2M         0            ❔ new              ❌ -15%            
range 1K (sps)       674.6 ns     1.5M         0            ❔ new              🟰 similar         
range 1K (dns)       132.2 ns     7.6M         0            ❔ new              ❌ -16%            
range 1M (seq)       2.3 ms       435          0            ❔ new              ❌ -32%            
range 1M (rnd)       2.1 ms       488          0            ❔ new              ❌ -39%            
range 1M (sps)       667.5 µs     1.5K         0            ❔ new              ❌ -10%            
range 1M (dns)       192.9 µs     5.2K         0            ❔ new              ✅ +60%            
write seq            145.5 ns     6.9M         9            ❔ new              ❔ uncertain       
read seq             225.6 ns     4.4M         13           ❔ new              ✅ +6.3x           
write rnd            2.8 µs       363.6K       11           ❔ new              ❔ uncertain       
read rnd             5.8 µs       173.8K       13           ❔ new              ❌ -54%            
write sps            136.3 µs     7.3K         4.6K         ❔ new              ❌ -38%            
read sps             154.6 µs     6.5K         6.1K         ❔ new              ❌ -51%            
write dns            1.0 µs       979.8K       7            ❔ new              ❔ uncertain       
read dns             2.8 µs       352.0K       8            ❔ new              ❌ -52%            
