name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.2 ns      52.2M        0            ❔ new              ❔ uncertain       
set 1K (seq) clr     5.5 ns       182.3M       0            ❔ new              ❌ -11%            
set 1K (rnd)         31.1 ns      32.1M        0            ❔ new              🟰 similar         
set 1K (rnd) clr     18.8 ns      53.2M        0            ❔ new              ❌ -14%            
set 1K (sps)         20.8 ns      48.1M        0            ❔ new              🟰 similar         
set 1K (sps) clr     9.1 ns       109.9M       0            ❔ new              ❔ uncertain       
set 1K (dns)         20.9 ns      47.8M        0            ❔ new              ❔ uncertain       
set 1K (dns) clr     8.4 ns       118.9M       0            ❔ new              ✅ +23%            
set 1M (seq)         11.8 ns      84.4M        0            ❔ new              ✅ +13%            
set 1M (seq) clr     11.1 ns      89.9M        0            ❔ new              ❌ -64%            
set 1M (rnd)         20.1 ns      49.7M        0            ❔ new              ❔ uncertain       
set 1M (rnd) clr     31.1 ns      32.1M        0            ❔ new              ❔ uncertain       
set 1M (sps)         31.3 ns      32.0M        0            ❔ new              ✅ +24%            
set 1M (sps) clr     12.1 ns      82.9M        0            ❔ new              ❌ -44%            
set 1M (dns)         12.9 ns      77.5M        0            ❔ new              ❔ uncertain       
set 1M (dns) clr     8.2 ns       121.7M       0            ❔ new              ❔ uncertain       
has 1K (seq)         17.9 ns      56.0M        0            ❔ new              🟰 similar         
has 1K (rnd)         25.8 ns      38.7M        0            ❔ new              ❔ uncertain       
has 1K (sps)         13.3 ns      75.4M        0            ❔ new              ❔ uncertain       
has 1K (dns)         19.4 ns      51.7M        0            ❔ new              ❔ uncertain       
has 1M (seq)         9.6 ns       103.9M       0            ❔ new              ❔ uncertain       
has 1M (rnd)         18.9 ns      52.8M        0            ❔ new              ✅ +10%            
has 1M (sps)         29.2 ns      34.2M        0            ❔ new              ❔ uncertain       
has 1M (dns)         12.1 ns      83.0M        0            ❔ new              ❔ uncertain       
del 1K (seq)         6.6 ns       151.3M       0            ❔ new              ❔ uncertain       
del 1K (seq) clr     13.2 ns      75.9M        0            ❔ new              ✅ +19%            
del 1K (rnd)         7.0 ns       143.8M       0            ❔ new              ❔ uncertain       
del 1K (rnd) clr     14.1 ns      70.8M        0            ❔ new              ❔ uncertain       
del 1K (sps)         7.0 ns       143.6M       0            ❔ new              ❔ uncertain       
del 1K (sps) clr     7.7 ns       129.1M       0            ❔ new              ✅ +36%            
del 1K (dns)         6.9 ns       144.0M       0            ❔ new              ❔ uncertain       
del 1K (dns) clr     4.9 ns       203.8M       0            ❔ new              ✅ +20%            
del 1M (seq)         7.0 ns       143.1M       0            ❔ new              ❔ uncertain       
del 1M (seq) clr     10.2 ns      98.0M        0            ❔ new              ❌ -14%            
del 1M (rnd)         20.4 ns      48.9M        0            ❔ new              ✅ +15%            
del 1M (rnd) clr     18.0 ns      55.5M        0            ❔ new              ✅ +53%            
del 1M (sps)         7.1 ns       141.4M       0            ❔ new              ❔ uncertain       
del 1M (sps) clr     105.7 ns     9.5M         0            ❔ new              ❌ -34%            
del 1M (dns)         39.8 ns      25.1M        0            ❔ new              ❔ uncertain       
del 1M (dns) clr     18.5 ns      54.0M        0            ❔ new              ✅ +34%            
and 1K (seq)         825.9 ns     1.2M         4            ❔ new              ❔ uncertain       
and 1K (rnd)         611.0 ns     1.6M         4            ❔ new              ❌ -10%            
and 1K (sps)         1.2 µs       810.4K       19           ❔ new              🟰 similar         
and 1K (dns)         181.5 ns     5.5M         4            ❔ new              ❌ -37%            
and 1M (seq)         25.5 µs      39.2K        19           ❔ new              ✅ +29%            
and 1M (rnd)         25.7 µs      38.9K        19           ❔ new              ✅ +27%            
and 1M (sps)         3.9 ms       258          15.3K        ❔ new              ❌ -13%            
and 1M (dns)         3.1 µs       321.2K       5            ❔ new              ✅ +2.4x           
or 1K (seq)          1.8 µs       547.5K       16           ❔ new              ❌ -20%            
or 1K (rnd)          1.6 µs       619.7K       16           ❔ new              ❌ -31%            
or 1K (sps)          2.0 µs       512.0K       32           ❔ new              ❔ uncertain       
or 1K (dns)          356.7 ns     2.8M         12           ❔ new              ✅ +36%            
or 1M (seq)          27.3 µs      36.7K        27           ❔ new              ✅ +18%            
or 1M (rnd)          27.1 µs      36.9K        27           ❔ new              ✅ +18%            
or 1M (sps)          4.2 ms       237          15.3K        ❔ new              ❔ uncertain       
or 1M (dns)          3.3 µs       304.1K       8            ❔ new              ✅ +233x           
xor 1K (seq)         1.4 µs       702.7K       14           ❔ new              ✅ +4.9x           
xor 1K (rnd)         1.2 µs       855.0K       14           ❔ new              ❔ uncertain       
xor 1K (sps)         2.0 µs       509.2K       32           ❔ new              ❔ uncertain       
xor 1K (dns)         169.8 ns     5.9M         4            ❔ new              ✅ +21x            
xor 1M (seq)         26.9 µs      37.2K        27           ❔ new              ✅ +2.0x           
xor 1M (rnd)         26.4 µs      37.9K        27           ❔ new              ✅ +2.0x           
xor 1M (sps)         4.2 ms       240          15.3K        ❔ new              ❔ uncertain       
xor 1M (dns)         3.2 µs       315.7K       8            ❔ new              ✅ +8.2x           
andnot 1K (seq)      932.9 ns     1.1M         4            ❔ new              ❔ uncertain       
andnot 1K (rnd)      747.1 ns     1.3M         4            ❔ new              ❔ uncertain       
andnot 1K (sps)      1.4 µs       701.9K       19           ❔ new              ❔ uncertain       
andnot 1K (dns)      179.0 ns     5.6M         5            ❔ new              ✅ +22x            
andnot 1M (seq)      25.2 µs      39.6K        19           ❔ new              ✅ +36%            
andnot 1M (rnd)      94.4 µs      10.6K        19           ❔ new              ❌ -60%            
andnot 1M (sps)      4.0 ms       250          15.3K        ❔ new              ❌ -16%            
andnot 1M (dns)      3.1 µs       325.4K       5            ❔ new              ✅ +9.0x           
range 1K (seq)       615.9 ns     1.6M         0            ❔ new              ❌ -16%            
range 1K (rnd)       468.3 ns     2.1M         0            ❔ new              ❔ uncertain       
range 1K (sps)       680.0 ns     1.5M         0            ❔ new              🟰 similar         
range 1K (dns)       133.3 ns     7.5M         0            ❔ new              ❌ -15%            
range 1M (seq)       2.3 ms       434          0            ❔ new              ❌ -32%            
range 1M (rnd)       2.1 ms       476          0            ❔ new              ❌ -40%            
range 1M (sps)       667.6 µs     1.5K         0            ❔ new              ❌ -9%             
range 1M (dns)       194.7 µs     5.1K         0            ❔ new              ✅ +61%            
write seq            148.4 ns     6.7M         9            ❔ new              ✅ +6.4x           
read seq             226.3 ns     4.4M         13           ❔ new              ✅ +6.5x           
write rnd            3.1 µs       326.3K       11           ❔ new              ❔ uncertain       
read rnd             5.8 µs       171.7K       13           ❔ new              ❌ -55%            
write sps            143.0 µs     7.0K         4.6K         ❔ new              ❌ -36%            
read sps             160.8 µs     6.2K         6.1K         ❔ new              ❌ -51%            
write dns            1.1 µs       909.9K       7            ❔ new              ❔ uncertain       
read dns             2.9 µs       349.3K       8            ❔ new              ❌ -51%            
