name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         22.3 ns      44.9M        🟰 0          ❌ -12%             ❌ -10%            
set 1K (seq) clr     4.9 ns       204.8M       🟰 0          ✅ +14%             ❔ uncertain       
set 1K (rnd)         29.1 ns      34.3M        🟰 0          ✅ +9%              ✅ +8%             
set 1K (rnd) clr     14.9 ns      67.0M        🟰 0          ✅ +28%             ❔ uncertain       
set 1K (sps)         19.2 ns      52.2M        🟰 0          ✅ +11%             ✅ +11%            
set 1K (sps) clr     6.2 ns       162.4M       🟰 0          ✅ +42%             ✅ +13%            
set 1K (dns)         18.2 ns      54.9M        🟰 0          ✅ +22%             ✅ +10%            
set 1K (dns) clr     7.9 ns       126.7M       🟰 0          ❔ uncertain        ✅ +29%            
set 1M (seq)         10.6 ns      94.0M        🟰 0          ✅ +13%             ✅ +26%            
set 1M (seq) clr     3.6 ns       277.2M       🟰 0          ✅ +3.1x            ✅ +10%            
set 1M (rnd)         19.4 ns      51.6M        🟰 0          ❔ uncertain        ❔ uncertain       
set 1M (rnd) clr     19.7 ns      50.7M        🟰 0          ✅ +59%             ❔ uncertain       
set 1M (sps)         33.6 ns      29.7M        🟰 0          ❌ -7%              ✅ +16%            
set 1M (sps) clr     6.0 ns       166.7M       🟰 0          ✅ +2.1x            ❔ uncertain       
set 1M (dns)         12.3 ns      81.5M        🟰 0          ❔ uncertain        ✅ +10%            
set 1M (dns) clr     7.0 ns       142.5M       🟰 0          ✅ +18%             ❔ uncertain       
has 1K (seq)         17.0 ns      59.0M        🟰 0          ❔ uncertain        ✅ +7%             
has 1K (rnd)         23.1 ns      43.3M        🟰 0          ✅ +14%             ❔ uncertain       
has 1K (sps)         13.3 ns      75.2M        🟰 0          ❔ uncertain        ✅ +35%            
has 1K (dns)         14.9 ns      66.9M        🟰 0          ❔ uncertain        ✅ +24%            
has 1M (seq)         8.6 ns       115.7M       🟰 0          ✅ +14%             ✅ +15%            
has 1M (rnd)         19.0 ns      52.7M        🟰 0          🟰 similar          ✅ +10%            
has 1M (sps)         27.8 ns      36.0M        🟰 0          ❔ uncertain        ✅ +26%            
has 1M (dns)         11.1 ns      90.3M        🟰 0          ❔ uncertain        ✅ +7%             
del 1K (seq)         5.2 ns       192.3M       🟰 0          ✅ +27%             ✅ +15%            
del 1K (seq) clr     12.0 ns      83.4M        🟰 0          ✅ +8%              ✅ +29%            
del 1K (rnd)         5.2 ns       192.8M       🟰 0          ❔ uncertain        ✅ +17%            
del 1K (rnd) clr     12.6 ns      79.6M        🟰 0          ❔ uncertain        ✅ +14%            
del 1K (sps)         5.2 ns       191.1M       🟰 0          ✅ +29%             ✅ +15%            
del 1K (sps) clr     7.1 ns       140.4M       🟰 0          ❔ uncertain        ✅ +45%            
del 1K (dns)         5.2 ns       190.5M       🟰 0          ✅ +29%             ✅ +15%            
del 1K (dns) clr     3.7 ns       267.2M       🟰 0          ✅ +29%             ❔ uncertain       
del 1M (seq)         5.2 ns       190.7M       🟰 0          ✅ +32%             ✅ +15%            
del 1M (seq) clr     4.0 ns       248.7M       🟰 0          ❔ uncertain        ✅ +2.1x           
del 1M (rnd)         20.3 ns      49.3M        🟰 0          ❔ uncertain        ✅ +14%            
del 1M (rnd) clr     17.4 ns      57.4M        🟰 0          ❔ uncertain        ✅ +56%            
del 1M (sps)         5.3 ns       188.2M       🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (sps) clr     6.9 ns       144.3M       🟰 0          ✅ +15x             ✅ +10.1x          
del 1M (dns)         38.7 ns      25.8M        🟰 0          🟰 similar          ✅ +35%            
del 1M (dns) clr     17.5 ns      57.0M        🟰 0          ❔ uncertain        ✅ +37%            
and 1K (seq)         913.0 ns     1.1M         🟰 4          ❔ uncertain        ❌ -13%            
and 1K (rnd)         660.7 ns     1.5M         🟰 4          ❔ uncertain        ❌ -16%            
and 1K (sps)         1.3 µs       755.5K       ✅ 4          ❔ uncertain        ❔ uncertain       
and 1K (dns)         177.2 ns     5.6M         🟰 4          ❔ uncertain        ❌ -36%            
and 1M (seq)         20.6 µs      48.6K        ✅ 4          ✅ +28%             ✅ +64%            
and 1M (rnd)         20.1 µs      49.7K        ✅ 4          ✅ +31%             ✅ +61%            
and 1M (sps)         1.9 ms       532          ✅ 4          ✅ +2.1x            ✅ +82%            
and 1M (dns)         2.4 µs       422.9K       ✅ 4          ✅ +27%             ✅ +3.1x           
or 1K (seq)          1.4 µs       718.9K       ✅ 5          ✅ +31%             ❔ uncertain       
or 1K (rnd)          1.0 µs       960.1K       ✅ 5          ✅ +51%             ❔ uncertain       
or 1K (sps)          1.6 µs       638.3K       ✅ 5          ✅ +24%             ✅ +33%            
or 1K (dns)          239.4 ns     4.2M         ✅ 5          ✅ +49%             ✅ +2.0x           
or 1M (seq)          20.5 µs      48.8K        ✅ 4          ✅ +35%             ✅ +59%            
or 1M (rnd)          20.3 µs      49.4K        ✅ 4          ✅ +35%             ✅ +59%            
or 1M (sps)          2.1 ms       465          ✅ 5          ✅ +99%             ✅ +90%            
or 1M (dns)          2.5 µs       407.5K       ✅ 4          ❔ uncertain        ✅ +312x           
xor 1K (seq)         1.4 µs       714.2K       ✅ 5          ❔ uncertain        ✅ +4.9x           
xor 1K (rnd)         998.1 ns     1.0M         ✅ 5          ✅ +15%             ❌ -18%            
xor 1K (sps)         1.6 µs       623.0K       ✅ 5          ✅ +22%             ✅ +13%            
xor 1K (dns)         222.3 ns     4.5M         ❌ 5          ❌ -24%             ✅ +16x            
xor 1M (seq)         20.5 µs      48.8K        ✅ 4          ✅ +36%             ✅ +2.8x           
xor 1M (rnd)         20.5 µs      48.7K        ✅ 4          ✅ +34%             ✅ +2.7x           
xor 1M (sps)         2.2 ms       453          ✅ 5          ❔ uncertain        ✅ +82%            
