name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         24.5 ns      40.8M        0            ❔ new              ❔ uncertain       
set 1K (seq) clr     7.7 ns       130.7M       0            ❔ new              ❔ uncertain       
set 1K (rnd)         33.1 ns      30.3M        0            ❔ new              ❔ uncertain       
set 1K (rnd) clr     19.3 ns      51.8M        0            ❔ new              ❔ uncertain       
set 1K (sps)         22.3 ns      44.9M        0            ❔ new              ❔ uncertain       
set 1K (sps) clr     10.5 ns      95.4M        0            ❔ new              ❔ uncertain       
set 1K (dns)         20.3 ns      49.3M        0            ❔ new              ❔ uncertain       
set 1K (dns) clr     10.0 ns      99.9M        0            ❔ new              ✅ +28%            
set 1M (seq)         13.5 ns      74.2M        0            ❔ new              ✅ +19%            
set 1M (seq) clr     5.1 ns       197.7M       0            ❔ new              ❔ uncertain       
set 1M (rnd)         23.5 ns      42.6M        0            ❔ new              ✅ +17%            
set 1M (rnd) clr     28.2 ns      35.5M        0            ❔ new              ❔ uncertain       
set 1M (sps)         44.1 ns      22.7M        0            ❔ new              ✅ +15%            
set 1M (sps) clr     13.2 ns      75.7M        0            ❔ new              ❔ uncertain       
set 1M (dns)         17.4 ns      57.6M        0            ❔ new              ❔ uncertain       
set 1M (dns) clr     9.3 ns       107.6M       0            ❔ new              ❔ uncertain       
has 1K (seq)         21.5 ns      46.4M        0            ❔ new              ❔ uncertain       
has 1K (rnd)         23.7 ns      42.3M        0            ❔ new              ❔ uncertain       
has 1K (sps)         13.5 ns      73.9M        0            ❔ new              ✅ +35%            
has 1K (dns)         15.2 ns      65.7M        0            ❔ new              ✅ +22%            
has 1M (seq)         8.7 ns       115.6M       0            ❔ new              ❔ uncertain       
has 1M (rnd)         19.1 ns      52.4M        0            ❔ new              ✅ +10%            
has 1M (sps)         28.0 ns      35.7M        0            ❔ new              ✅ +26%            
has 1M (dns)         11.1 ns      90.1M        0            ❔ new              ✅ +8%             
del 1K (seq)         5.3 ns       190.0M       0            ❔ new              ✅ +16%            
del 1K (seq) clr     12.1 ns      83.0M        0            ❔ new              ✅ +29%            
del 1K (rnd)         5.2 ns       191.1M       0            ❔ new              ❔ uncertain       
del 1K (rnd) clr     12.5 ns      80.1M        0            ❔ new              ✅ +16%            
del 1K (sps)         5.3 ns       187.8M       0            ❔ new              ❔ uncertain       
del 1K (sps) clr     7.3 ns       137.8M       0            ❔ new              ✅ +45%            
del 1K (dns)         5.3 ns       187.0M       0            ❔ new              ✅ +16%            
del 1K (dns) clr     3.8 ns       260.3M       0            ❔ new              ❔ uncertain       
del 1M (seq)         5.4 ns       186.7M       0            ❔ new              ✅ +16%            
del 1M (seq) clr     4.2 ns       239.7M       0            ❔ new              ✅ +2.1x           
del 1M (rnd)         20.3 ns      49.3M        0            ❔ new              ✅ +15%            
del 1M (rnd) clr     17.5 ns      57.1M        0            ❔ new              ✅ +57%            
del 1M (sps)         5.3 ns       189.3M       0            ❔ new              ❔ uncertain       
del 1M (sps) clr     6.8 ns       146.5M       0            ❔ new              ✅ +10.2x          
del 1M (dns)         39.3 ns      25.4M        0            ❔ new              ✅ +34%            
del 1M (dns) clr     18.0 ns      55.6M        0            ❔ new              ✅ +37%            
