name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         17.0 ns      59.0M        🟰 0          🟰 similar          ✅ +15%            
set 1K (seq) clr     4.0 ns       249.1M       🟰 0          ❔ uncertain        ✅ +21%            
set 1K (rnd)         26.9 ns      37.2M        🟰 0          🟰 similar          ✅ +13%            
set 1K (rnd) clr     12.8 ns      78.3M        🟰 0          ❔ uncertain        ✅ +19%            
set 1K (sps)         18.5 ns      54.0M        🟰 0          ✅ +13%             ✅ +12%            
set 1K (sps) clr     4.7 ns       213.4M       🟰 0          ✅ +80%             ✅ +45%            
set 1K (dns)         18.1 ns      55.3M        🟰 0          🟰 similar          ✅ +9%             
set 1K (dns) clr     7.5 ns       133.0M       🟰 0          ❔ uncertain        ✅ +32%            
set 1M (seq)         10.9 ns      91.6M        🟰 0          ❔ uncertain        ✅ +21%            
set 1M (seq) clr     3.0 ns       332.9M       🟰 0          🟰 similar          ✅ +32%            
set 1M (rnd)         19.9 ns      50.2M        🟰 0          🟰 similar          ✅ +10%            
set 1M (rnd) clr     17.7 ns      56.4M        🟰 0          🟰 similar          ❔ uncertain       
set 1M (sps)         31.2 ns      32.1M        🟰 0          ❔ uncertain        ✅ +23%            
set 1M (sps) clr     4.4 ns       226.0M       🟰 0          🟰 similar          ✅ +47%            
set 1M (dns)         12.3 ns      81.5M        🟰 0          🟰 similar          ✅ +10%            
set 1M (dns) clr     6.8 ns       148.1M       🟰 0          🟰 similar          ✅ +11%            
has 1K (seq)         12.8 ns      78.0M        🟰 0          ❔ uncertain        ✅ +41%            
has 1K (rnd)         18.6 ns      53.8M        🟰 0          ❔ uncertain        ✅ +33%            
has 1K (sps)         13.9 ns      71.9M        🟰 0          ❔ uncertain        ✅ +28%            
has 1K (dns)         12.2 ns      81.8M        🟰 0          ✅ +62%             ✅ +47%            
has 1M (seq)         8.4 ns       119.2M       🟰 0          ❔ uncertain        ✅ +14%            
has 1M (rnd)         19.5 ns      51.3M        🟰 0          🟰 similar          ❔ uncertain       
has 1M (sps)         24.9 ns      40.1M        🟰 0          ✅ +8%              ✅ +39%            
has 1M (dns)         11.4 ns      88.0M        🟰 0          🟰 similar          🟰 similar         
del 1K (seq)         5.3 ns       189.9M       🟰 0          ❔ uncertain        ✅ +13%            
del 1K (seq) clr     14.0 ns      71.2M        🟰 0          🟰 similar          ✅ +10%            
del 1K (rnd)         5.2 ns       192.6M       🟰 0          ❔ uncertain        ✅ +14%            
del 1K (rnd) clr     10.3 ns      97.5M        🟰 0          ✅ +26%             ✅ +37%            
del 1K (sps)         5.2 ns       193.1M       🟰 0          ❔ uncertain        ✅ +14%            
del 1K (sps) clr     8.6 ns       115.7M       🟰 0          ❔ uncertain        ✅ +19%            
del 1K (dns)         5.2 ns       193.9M       🟰 0          ❔ uncertain        ✅ +13%            
del 1K (dns) clr     3.4 ns       291.3M       🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (seq)         5.3 ns       190.2M       🟰 0          ✅ +28%             ✅ +14%            
del 1M (seq) clr     4.9 ns       205.0M       🟰 0          🟰 similar          ✅ +74%            
del 1M (rnd)         20.5 ns      48.8M        🟰 0          🟰 similar          ✅ +13%            
del 1M (rnd) clr     17.6 ns      57.0M        🟰 0          🟰 similar          ✅ +54%            
del 1M (sps)         5.2 ns       192.0M       🟰 0          ❔ uncertain        ✅ +15%            
del 1M (sps) clr     12.8 ns      78.3M        🟰 0          ❔ uncertain        ✅ +5.4x           
del 1M (dns)         40.0 ns      25.0M        🟰 0          ❔ uncertain        ✅ +28%            
del 1M (dns) clr     17.5 ns      57.0M        🟰 0          ❔ uncertain        ✅ +36%            
and 1K (seq)         802.3 ns     1.2M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (rnd)         587.0 ns     1.7M         🟰 4          ❔ uncertain        ❔ uncertain       
and 1K (sps)         1.1 µs       871.0K       ✅ 4          ❔ uncertain        ❔ uncertain       
and 1K (dns)         76.8 ns      13.0M        🟰 4          ❔ uncertain        ✅ +45%            
and 1M (seq)         19.8 µs      50.4K        🟰 4          ❔ uncertain        ✅ +60%            
and 1M (rnd)         19.6 µs      51.0K        🟰 4          ❔ uncertain        ✅ +60%            
and 1M (sps)         1.8 ms       545          🟰 4          ❔ uncertain        ✅ +85%            
and 1M (dns)         2.4 µs       422.4K       🟰 4          ❔ uncertain        ✅ +3.1x           
or 1K (seq)          1.3 µs       744.4K       🟰 5          ❔ uncertain        ❔ uncertain       
or 1K (rnd)          1.0 µs       986.4K       🟰 5          ❔ uncertain        ❔ uncertain       
or 1K (sps)          1.5 µs       646.2K       🟰 5          ❔ uncertain        ✅ +33%            
or 1K (dns)          101.5 ns     9.9M         🟰 5          ❔ uncertain        ✅ +4.8x           
or 1M (seq)          19.9 µs      50.2K        🟰 4          ❔ uncertain        ✅ +55%            
or 1M (rnd)          19.7 µs      50.7K        🟰 4          ❔ uncertain        ✅ +56%            
or 1M (sps)          2.1 ms       467          🟰 5          ❔ uncertain        ✅ +88%            
or 1M (dns)          2.5 µs       399.4K       🟰 4          ❔ uncertain        ✅ +296x           
xor 1K (seq)         1.1 µs       872.1K       🟰 5          ❔ uncertain        ✅ +5.8x           
xor 1K (rnd)         818.0 ns     1.2M         🟰 5          ❔ uncertain        ❔ uncertain       
xor 1K (sps)         1.5 µs       658.8K       🟰 13         ❔ uncertain        ❔ uncertain       
xor 1K (dns)         92.7 ns      10.8M        🟰 5          ❔ uncertain        ✅ +36x            
xor 1M (seq)         19.7 µs      50.6K        🟰 4          ❔ uncertain        ✅ +2.6x           
xor 1M (rnd)         19.7 µs      50.9K        🟰 4          ❔ uncertain        ✅ +2.6x           
xor 1M (sps)         2.4 ms       418          🟰 8.7K       ❔ uncertain        ✅ +67%            
xor 1M (dns)         2.4 µs       413.8K       🟰 4          ❔ uncertain        ✅ +10.5x          
andnot 1K (seq)      962.1 ns     1.0M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (rnd)      745.6 ns     1.3M         🟰 4          ❔ uncertain        ❔ uncertain       
andnot 1K (sps)      1.3 µs       743.1K       ✅ 4          ❔ uncertain        ❔ uncertain       
andnot 1K (dns)      80.7 ns      12.4M        🟰 4          ❔ uncertain        ✅ +47x            
andnot 1M (seq)      19.7 µs      50.8K        🟰 4          ❔ uncertain        ✅ +69%            
