name                 time/op      ops/s        allocs/op    vs prev            vs ref            
-------------------- ------------ ------------ ------------ ------------------ ------------------
set 1K (seq)         19.8 ns      50.4M        🟰 0          🟰 similar          🟰 similar         
set 1K (seq) clr     5.6 ns       178.0M       🟰 0          ❔ uncertain        ❌ -12%            
set 1K (rnd)         31.5 ns      31.7M        🟰 0          🟰 similar          🟰 similar         
set 1K (rnd) clr     21.2 ns      47.1M        🟰 0          ❌ -15%             ❌ -24%            
set 1K (sps)         21.2 ns      47.1M        🟰 0          ❔ uncertain        🟰 similar         
set 1K (sps) clr     8.8 ns       114.0M       🟰 0          ❔ uncertain        ❔ uncertain       
set 1K (dns)         20.8 ns      48.1M        🟰 0          🟰 similar          ❔ uncertain       
set 1K (dns) clr     8.8 ns       113.1M       🟰 0          ❔ uncertain        ✅ +14%            
set 1M (seq)         11.0 ns      90.6M        🟰 0          ❔ uncertain        ✅ +20%            
set 1M (seq) clr     6.0 ns       166.4M       🟰 0          ❔ uncertain        ❌ -33%            
set 1M (rnd)         20.1 ns      49.8M        🟰 0          🟰 similar          ✅ +10%            
set 1M (rnd) clr     19.7 ns      50.8M        🟰 0          ✅ +58%             ❔ uncertain       
set 1M (sps)         31.8 ns      31.5M        🟰 0          🟰 similar          ✅ +22%            
set 1M (sps) clr     12.3 ns      81.2M        🟰 0          🟰 similar          ❌ -45%            
set 1M (dns)         12.8 ns      78.1M        🟰 0          🟰 similar          ❔ uncertain       
set 1M (dns) clr     7.9 ns       126.9M       🟰 0          ❔ uncertain        ❔ uncertain       
has 1K (seq)         18.1 ns      55.2M        🟰 0          🟰 similar          🟰 similar         
has 1K (rnd)         26.1 ns      38.2M        🟰 0          ❔ uncertain        ❔ uncertain       
has 1K (sps)         13.3 ns      75.2M        🟰 0          🟰 similar          ✅ +33%            
has 1K (dns)         19.5 ns      51.4M        🟰 0          🟰 similar          ❔ uncertain       
has 1M (seq)         9.3 ns       107.6M       🟰 0          🟰 similar          ❔ uncertain       
has 1M (rnd)         19.0 ns      52.5M        🟰 0          🟰 similar          ✅ +10%            
has 1M (sps)         26.7 ns      37.4M        🟰 0          🟰 similar          ✅ +30%            
has 1M (dns)         11.7 ns      85.5M        🟰 0          🟰 similar          🟰 similar         
del 1K (seq)         5.5 ns       180.9M       🟰 0          ✅ +19%             ❔ uncertain       
del 1K (seq) clr     12.5 ns      80.1M        🟰 0          ❔ uncertain        ✅ +23%            
del 1K (rnd)         5.6 ns       178.9M       🟰 0          ✅ +21%             ❔ uncertain       
del 1K (rnd) clr     12.0 ns      83.3M        🟰 0          ❔ uncertain        ✅ +19%            
del 1K (sps)         5.6 ns       179.0M       🟰 0          ✅ +21%             ✅ +8%             
del 1K (sps) clr     7.8 ns       127.5M       🟰 0          ❔ uncertain        ✅ +31%            
del 1K (dns)         5.5 ns       182.1M       🟰 0          ✅ +25%             ✅ +10%            
del 1K (dns) clr     4.5 ns       220.7M       🟰 0          ✅ +7%              ✅ +24%            
del 1M (seq)         5.6 ns       177.4M       🟰 0          ✅ +22%             ❔ uncertain       
del 1M (seq) clr     4.8 ns       206.2M       🟰 0          ✅ +2.1x            ✅ +80%            
del 1M (rnd)         20.3 ns      49.2M        🟰 0          🟰 similar          ✅ +15%            
del 1M (rnd) clr     17.5 ns      57.1M        🟰 0          🟰 similar          ✅ +54%            
del 1M (sps)         5.7 ns       175.9M       🟰 0          ❔ uncertain        ❔ uncertain       
del 1M (sps) clr     7.5 ns       133.0M       🟰 0          ✅ +14x             ✅ +9.3x           
del 1M (dns)         38.5 ns      26.0M        🟰 0          ❔ uncertain        ✅ +34%            
del 1M (dns) clr     18.0 ns      55.5M        🟰 0          ❔ uncertain        ✅ +33%            
and 1K (seq)         924.9 ns     1.1M         🟰 4          ❔ uncertain        ❌ -13%            
and 1K (rnd)         659.1 ns     1.5M         🟰 4          ❔ uncertain        ❌ -15%            
and 1K (sps)         1.3 µs       773.1K       ✅ 4          ❔ uncertain        ❔ uncertain       
and 1K (dns)         175.7 ns     5.7M         🟰 4          ❔ uncertain        ❌ -34%            
and 1M (seq)         21.3 µs      47.0K        ✅ 4          ✅ +24%             ✅ +63%            
and 1M (rnd)         20.6 µs      48.6K        ✅ 4          ✅ +26%             ✅ +65%            
and 1M (sps)         1.8 ms       542          ✅ 4          ✅ +2.1x            ✅ +90%            
and 1M (dns)         2.5 µs       405.5K       ✅ 4          ✅ +18%             ✅ +3.1x           
or 1K (seq)          1.4 µs       703.9K       ✅ 5          ✅ +26%             ❔ uncertain       
or 1K (rnd)          1.1 µs       933.5K       ✅ 5          ✅ +47%             ❔ uncertain       
or 1K (sps)          1.6 µs       623.5K       ✅ 5          ✅ +21%             ✅ +33%            
or 1K (dns)          239.0 ns     4.2M         ✅ 5          ❔ uncertain        ✅ +2.0x           
or 1M (seq)          20.9 µs      47.8K        ✅ 4          ✅ +40%             ✅ +60%            
or 1M (rnd)          20.6 µs      48.6K        ✅ 4          ✅ +30%             ✅ +62%            
or 1M (sps)          2.2 ms       453          ✅ 5          ❔ uncertain        ✅ +89%            
or 1M (dns)          2.6 µs       384.2K       ✅ 4          ✅ +20%             ✅ +287x           
xor 1K (seq)         1.4 µs       733.3K       ✅ 12         ❔ uncertain        ✅ +5.2x           
xor 1K (rnd)         1.1 µs       925.5K       ✅ 12         ❔ uncertain        ❌ -23%            
